Probe Set ID,GSM1008929_Salinity_T.CEL(normalized),GSM1008930_Salinity_C.CEL(normalized)
PsAffx.CL79Contig2_at,0.08804989,-0.08804989
PsAffx.CL79Contig2_s_at,-0.012041807,0.012042046
PsAffx.CL81Contig1_at,-0.044741392,0.044741392
PsAffx.CL82Contig1_at,0,0
PsAffx.CL83Contig1_at,0.01992774,-0.01992774
PsAffx.CL84Contig1_at,0,0
PsAffx.CL84Contig2_at,0,0
PsAffx.CL85Contig1_at,-0.19614697,0.19614673
PsAffx.CL86Contig1_at,-0.104210615,0.104210615
PsAffx.CL86Contig2_at,0.09218645,-0.09218645
PsAffx.CL87Contig1_at,-0.10997152,0.10997152
PsAffx.CL88Contig1_at,-0.27228785,0.27228785
PsAffx.CL89Contig1_at,0.12570906,-0.12570906
PsAffx.CL90Contig1_at,0.079661846,-0.079661846
PsAffx.CL93Contig1_at,0.09038782,-0.09038806
PsAffx.CL95Contig1_at,-0.05162406,0.05162406
PsAffx.CL96Contig1_at,0,0
PsAffx.CL96Contig2_at,0.020142794,-0.020142794
PsAffx.CL97Contig1_at,0.043308496,-0.043308496
PsAffx.CL98Contig1_at,0.11357713,-0.11357713
PsAffx.CL99Contig1_at,0.08804989,-0.08804989
PsAffx.CL100Contig1_at,0,0
PsAffx.CL101Contig1_at,0.04189372,-0.04189372
PsAffx.CL102Contig1_at,-0.041893482,0.04189372
PsAffx.CL103Contig1_at,-0.08240056,0.08240056
PsAffx.CL105Contig1_at,-0.026397943,0.026397943
PsAffx.CL106Contig2_at,-0.06970358,0.06970382
PsAffx.CL107Contig1_s_at,-0.06970358,0.06970358
PsAffx.CL108Contig1_at,-0.14279461,0.14279461
PsAffx.CL109Contig1_at,0,0
PsAffx.CL109Contig1_s_at,-0.085202456,0.085202456
PsAffx.CL109Contig2_at,0.18183804,-0.1818378
PsAffx.CL110Contig1_at,0.22315884,-0.22315884
PsAffx.CL111Contig1_at,0,0
PsAffx.CL112Contig1_at,-0.24477267,0.24477291
PsAffx.CL113Contig1_s_at,-0.17612362,0.17612386
PsAffx.CL114Contig1_at,-0.02149868,0.02149868
PsAffx.CL114Contig2_at,-0.01994133,0.01994133
PsAffx.CL117Contig1_s_at,-0.24113536,0.24113536
PsAffx.CL119Contig1_at,-0.048190594,0.048190594
PsAffx.CL120Contig1_at,-0.04617977,0.04617977
PsAffx.CL121Contig1_at,-0.1358695,0.1358695
