geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma01g01130.1|PACid:16242998,0,0,0,0,4,0,0,0
Glyma01g01140.1|PACid:16242999,148,14.132,64,6.082,113,8.666,110,6.517
Glyma01g01140.2|PACid:16243000,59,6.628,19,2.124,27,2.436,23,1.603
Glyma01g01150.1|PACid:16243001,47,1.425,75,2.263,66,1.607,49,0.922
Glyma01g01160.1|PACid:16243002,2,0,2,0,0,0,4,0
Glyma01g01170.1|PACid:16243003,128,4.404,246,8.424,168,4.643,297,6.341
Glyma01g01170.2|PACid:16243004,214,7.386,444,15.25,304,8.426,416,8.908
Glyma01g01180.1|PACid:16243005,3456,66.893,7931,152.77,9451,146.913,7402,88.892
Glyma01g01180.2|PACid:16243006,2603,50.554,5770,111.52,7041,109.822,4737,57.08
Glyma01g01180.3|PACid:16243007,2098,48.273,4563,104.484,5251,97.033,3612,51.565
Glyma01g01190.1|PACid:16243008,1459,30.788,1802,37.843,1687,28.59,2184,28.595
Glyma01g01210.1|PACid:16243010,80,1.049,72,0.939,45,0.474,53,0.431
Glyma01g01220.1|PACid:16243011,268,21.179,248,19.504,270,17.136,456,22.358
Glyma01g01220.2|PACid:16243012,271,21.416,304,23.908,267,16.945,395,19.367
Glyma01g01230.1|PACid:16243013,766,12.889,802,13.429,669,9.04,968,10.106
Glyma01g01240.1|PACid:16243014,0,0,10,0.567,22,1.007,14,0.495
Glyma01g01260.1|PACid:16243015,1071,70.529,703,46.072,350,18.511,2598,106.151
Glyma01g01270.1|PACid:16243016,2411,35.464,2533,37.079,2047,24.182,3098,28.273
Glyma01g01280.1|PACid:16243017,379,4.422,343,3.983,476,4.461,542,3.924
Glyma01g01290.1|PACid:16243018,27,1.663,11,0.674,32,1.583,24,0.917
Glyma01g01300.1|PACid:16243019,106,4.745,85,3.786,67,2.408,71,1.972
Glyma01g01310.1|PACid:16243020,1663,35.419,4,0,16,0,21,0.278
Glyma01g01310.2|PACid:16243021,628,26.167,0,0,4,0,12,0.31
Glyma01g01330.1|PACid:16243023,152,11.094,135,9.805,233,13.657,311,14.083
Glyma01g01340.1|PACid:16243024,515,12.913,632,15.77,1195,24.063,1137,17.688
Glyma01g01350.1|PACid:16243025,249,5.15,74,1.523,203,3.372,153,1.963
Glyma01g01360.1|PACid:16243026,689,9.893,378,5.402,717,8.268,555,4.945
Glyma01g01370.1|PACid:16243027,9598,269.557,4397,122.893,15437,348.184,12275,213.892
Glyma01g01380.1|PACid:16243028,1100,46.683,490,20.695,758,25.835,1239,32.624
Glyma01g01380.2|PACid:16243029,891,40.354,388,17.488,643,23.388,1040,29.224
Glyma01g01390.1|PACid:16243030,1531,32.608,1339,28.381,1596,27.3,1831,24.196
Glyma01g01400.1|PACid:16243031,107,1.306,173,2.101,139,1.362,292,2.211
Glyma01g01410.1|PACid:16243032,662,54.572,504,41.347,1044,69.118,1137,58.154
Glyma01g01420.1|PACid:16243033,0,0,3,0,2,0,2,0
Glyma01g01430.1|PACid:16243034,141,4.513,212,6.753,232,5.964,236,4.687
Glyma01g01440.1|PACid:16243035,86,6.483,159,11.928,169,10.232,254,11.88
Glyma01g01440.2|PACid:16243036,72,6.25,94,8.121,98,6.832,213,11.472
Glyma01g01450.1|PACid:16243037,85,11.459,12,1.61,10,1.083,14,1.171
Glyma01g01460.1|PACid:16243038,969,28.691,700,20.626,675,16.051,1129,20.74
Glyma01g01470.1|PACid:16243039,760,10.114,777,10.291,960,10.261,801,6.614
Glyma01g01480.1|PACid:16243040,322,6.554,115,2.329,247,4.037,139,1.755
Glyma01g01490.1|PACid:16243041,65,6.055,35,3.245,44,3.292,66,3.815
Glyma01g01500.1|PACid:16243042,160,3.56,7,0,4,0.071,7,0
Glyma01g01510.1|PACid:16243043,7,0,126,2.914,0,0,37,0.534
Glyma01g01520.1|PACid:16243044,68,1.833,52,1.395,29,0.628,52,0.87
Glyma01g01550.1|PACid:16243046,947,14.411,23,0.348,27,0,14,0
Glyma01g01560.1|PACid:16243047,217,2.472,22,0,7,0,13,0
Glyma01g01570.1|PACid:16243048,1615,32.352,39,0.777,17,0,15,0
Glyma01g01580.1|PACid:16243049,10,0.247,3,0.074,1,0.02,0,0
Glyma01g01590.1|PACid:16243050,151,11.459,274,20.692,183,11.153,403,18.974
Glyma01g01600.1|PACid:16243051,462,13.007,902,25.272,997,22.543,1389,24.263
Glyma01g01610.1|PACid:16243052,726,16.344,1133,25.383,1038,18.767,1542,21.538
Glyma01g01610.2|PACid:16243053,452,16.035,592,20.9,586,16.696,850,18.709
Glyma01g01630.1|PACid:16243055,0,0,1,0,0,0,1,0
Glyma01g01650.1|PACid:16243057,41,1.74,1,0,0,0,0,0
Glyma01g01680.1|PACid:16243060,1,0,0,0,0,0,2,0
